date,parliament,division,cause,formerMember,party,winner,party,unopposed
1938-12-10,,Wakefield,Death[3],Charles Hawker,United Australia,Sydney McHugh,Labor,
1937-05-08,14th Parliament (1934–1937),Gwydir,Resignation,Aubrey Abbott,Country,William Scully,Labor,
1936-12-19,,Darling Downs,Death,Sir Littleton Groom,United Australia,Arthur Fadden,Country,
1936-12-12,,Kennedy,Death,Darby Riordan,Labor,Bill Riordan,Labor,
1935-08-17,,Fawkner,Death,George Maxwell,United Australia,Harold Holt,United Australia,
1935-06-01,,Newcastle,Death,David Watkins,Labor,David Watkins,Labor,
1933-11-11,13th Parliament (1931–1934),Flinders,Resignation,Stanley Bruce,United Australia,James Fairbairn,United Australia,
1932-02-06,,East Sydney,Death,John Clasby,United Australia,Eddie Ward,Labor (NSW),
1931-03-07,12th Parliament (1929–1931),East Sydney,Death,John West,Labor,Eddie Ward,Labor,
1931-01-31,,Parkes,Resignation,Edward McTiernan,Labor,Charles Marr,Nationalist,
1929-12-14,,Franklin,Death,William McWilliams,Independent,Charles Frost,Labor,
1929-08-03,11th Parliament (1928–1929),Balaclava,Resignation,William Watt,Nationalist,Thomas White,Nationalist,
1928-09-03,10th Parliament (1925–1928),Wide Bay,Death,Edward Corser,Nationalist,Bernard Corser,Country,1
1928-06-16,,Martin,Death,Herbert Pratten,Nationalist,Graham Pratten,Nationalist,
1927-05-21,,Warringah,Resignation,Sir Granville Ryrie,Nationalist,Archdale Parkhill,Nationalist,
1927-02-26,,Dalley,Resignation,William Mahony,Labor,Ted Theodore,Labor,
1926-03-06,,Eden-Monaro,Death,Sir Austin Chapman,Nationalist,John Perkins,Nationalist,
1922-02-18,8th Parliament (1919–1922),Yarra,Death,Frank Tudor,Labor,James Scullin,Labor,
1921-12-10,,Parramatta,Resignation,Sir Joseph Cook,Nationalist,Herbert Pratten,Nationalist,
1921-09-03,,West Sydney,Death,T. J. Ryan,Labor,William Lambert,Labor,
1921-07-30,,Maranoa,Death,Jim Page,Labor,James Hunter,Country,
1920-12-18,,Kalgoorlie,Expulsion,Hugh Mahon,Labor,George Foley,Nationalist,
1920-07-10,,Ballaarat,Election declared void,Edwin Kerby,Nationalist,Charles McGrath,Labor,
1919-09-20,7th Parliament (1917–1919),Echuca,Death,Albert Palmer,Nationalist,William Hill,VFU,
1918-12-14,,Corangamite,Death,Chester Manifold,Nationalist,William Gibson,VFU,
1918-10-26,,Swan,Death,Sir John Forrest,Nationalist,Edwin Corboy,Labor,
1918-05-11,,Flinders,Resignation,Sir William Irvine,Nationalist,Stanley Bruce,Nationalist,
1917-10-27,,Grampians,Death,Carty Salmon,Nationalist,Edmund Jowett,Nationalist,
1917-06-30,,Darwin,Death,Charles Howroyd,Nationalist,William Spence,Nationalist,
1915-12-11,6th Parliament (1914–1917),Wide Bay,Resignation,Andrew Fisher,Labor,Edward Corser,Liberal,
1915-05-06,,Dalley,Death,Robert Howe,Labor,William Mahony,Labor,1
1915-02-20,,Grampians,Death,Edward Jolley,Labor,Carty Salmon,Liberal,
1915-02-06,,Bendigo,Death,John Arthur,Labor,Alfred Hampson,Labor,
1914-01-10,5th Parliament (1913–1914),Adelaide,Death,Ernest Roberts,Labor,George Edwin Yates,Labor,
1913-12-22,,Kalgoorlie,Death,Charles Frazer,Labor,Hugh Mahon,Labor,1
1912-06-01,4th Parliament (1910–1913),Werriwa,Resignation,David Hall,Labor,Benjamin Bennett,Labor,
1911-11-11,,Boothby,Death,Lee Batchelor,Labour,David Gordon,Liberal,
1911-03-11,,North Sydney,Death,George Edwards,Liberal,Granville Ryrie,Liberal,
1911-02-08,,Batman,Death,Henry Beard,Labour,Frank Brennan,Labour,
1910-08-24,,Kooyong,Resignation,William Knox,Liberal,Sir Robert Best,Liberal,
1909-08-28,3rd Parliament (1906–1910),Wakefield,Death,Sir Frederick Holder,Independent,Richard Foster,Liberal,
1908-06-13,,Adelaide,Death,Charles Kingston,Protectionist,Ernest Roberts,Labour,
1907-07-10,,Echuca,Election declared void,Albert Palmer,Anti-Socialist,Albert Palmer,Anti-Socialist,
1904-05-18,2nd Parliament (1903–1906),Riverina,Election declared void,Robert Blackwood,Free Trade,John Chanter,Protectionist,
1904-03-30,,Melbourne,Election declared void,Sir Malcolm McEacharn,Protectionist,William Maloney,Labour,
1904-02-26,,Wilmot,Death,Sir Edward Braddon,Free Trade,Norman Cameron,Free Trade,
1903-09-04,1st Parliament (1901–1903),East Sydney,Resignation[4],George Reid,Free Trade,George Reid,Free Trade,
1902-03-26,,Tasmania,Death,Frederick Piesse,Free Trade,William Hartnoll,Free Trade,
1901-09-14,,Darling Downs,Death,William Henry Groom,Protectionist,Littleton Groom,Protectionist,
